,anime,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5
0,Naruto Shippuuden,48518,233346,4.81,1111,275,817,2341,43974
1,Shugo Chara,33688,163641,4.86,503,104,438,1599,31044
2,BLEACH,23900,115445,4.83,391,98,370,1457,21584
3,Naruto,16613,79667,4.8,456,64,282,818,14993
4,Skip Beat!,15011,73683,4.91,98,20,112,696,14085
5,REBORN!,12542,61262,4.88,114,47,132,587,11662
6,Gintama,11435,55745,4.87,133,47,124,509,10622
7,La Corda d'Oro ~primo passo~ and ~secondo passo~,9555,46479,4.86,71,26,148,638,8672
8,Eyeshield 21,8466,41028,4.85,99,43,115,547,7662
9,Hayate the Combat Butler! (S1 e S2),5689,27576,4.85,47,12,92,461,5077
10,Natsume Yuujinchou,5158,25208,4.89,24,7,58,349,4720
11,Myself; Yourself,4588,22000,4.8,47,24,120,440,3957
12,Blue Exorcist,4498,21661,4.82,21,18,96,499,3864
13,Durarara!!,4042,19606,4.85,13,9,53,419,3548
14,Time of Eve,3864,18819,4.87,24,9,42,294,3495
15,Tegami Bachi Letter Bee,3593,17363,4.83,6,11,75,395,3106
16,School Days,3484,14390,4.13,371,120,271,644,2078
17,Sword Art Online,3458,15226,4.4,163,153,284,385,2473
18,The World God Only Knows,3443,16430,4.77,13,18,97,485,2830
19,Demon King Daimao,3420,16148,4.72,30,26,125,504,2735
20,Neo Angelique Abyss,3258,15470,4.75,43,24,121,334,2736
21,Happiness!,3069,14529,4.73,52,17,92,373,2535
22,Linebarrels of Iron,3026,13850,4.58,145,25,130,365,2361
23,Beelzebub,2928,14027,4.79,11,18,80,355,2464
24,Nogizaka Haruka no Himitsu,2504,12133,4.85,24,7,39,192,2242
25,Chi's Sweet Home - Chi's New Address,2467,11947,4.84,30,8,31,182,2216
26,Hanasakeru Seishonen,2461,11829,4.81,21,11,52,255,2122
27,Saki,2367,11134,4.7,29,19,80,368,1871
28,Slam Dunk,2351,11039,4.7,96,14,73,144,2024
29,The Tower of DRUAGA -the Aegis of URUK-,2247,10678,4.75,41,15,50,248,1893
30,Hunter x Hunter,2244,10873,4.85,21,13,51,122,2037
31,11eyes,2137,9790,4.58,43,42,111,375,1566
32,Attack on Titan,2014,9533,4.73,43,32,56,157,1726
33,Koihime Musou,1979,9406,4.75,28,11,56,232,1652
34,Black Clover,1941,7446,3.84,288,173,147,294,1039
35,H2O: Footprints in the Sand,1889,9017,4.77,27,15,49,177,1621
36,BLASSREITER,1869,8661,4.63,67,25,64,213,1500
37,Another,1859,8750,4.71,21,16,64,285,1473
38,Glass Mask,1709,8271,4.84,21,9,22,119,1538
39,The Tower of DRUAGA -the Sword of URUK-,1645,7750,4.71,31,9,59,206,1340
40,5 Centímetros por Segundo,1518,7346,4.84,18,7,27,97,1369
41,Dragon Crisis,1514,7126,4.71,6,14,63,252,1179
42,Inu X Boku Secret Service,1473,6991,4.75,11,13,55,181,1213
43,The Rising of the Shield Hero,1409,6647,4.72,36,29,41,85,1218
44,Asura Cryin',1406,6652,4.73,10,14,53,190,1139
45,Usagi Drop,1402,6850,4.89,6,0,15,106,1275
46,07 Ghost,1400,6688,4.78,9,14,27,180,1170
47,No. 6,1374,6437,4.68,18,13,62,198,1083
48,SKET Dance,1364,6513,4.77,11,8,33,173,1139
49,Otome Yokai Zakuro,1326,6331,4.77,5,2,40,193,1086
50,Lilpri,1323,6342,4.79,14,3,36,136,1134
51,Squid Girl,1319,6223,4.72,10,11,43,213,1042
52,Yokuwakaru Gendai Maho,1288,5906,4.59,29,18,65,234,942
53,A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi,1282,6001,4.68,17,14,56,187,1008
54,Occult Academy,1273,5833,4.58,10,13,69,315,866
55,Kaasan Mom's Life,1201,5634,4.69,33,8,37,141,982
56,Re:ZERO -Starting Life in Another World-,1164,5302,4.55,44,34,60,120,906
57,One Piece,1142,5364,4.7,42,15,35,63,987
58,A Dark Rabbit has Seven Lives,1130,5224,4.62,24,25,49,157,875
59,Kono Aozora ni Yakusoku wo,1119,5143,4.6,37,14,59,144,865
60,Fate/Zero,1097,5254,4.79,12,8,25,109,943
61,JoJo's Bizarre Adventure,1074,5232,4.87,9,6,16,52,991
62,Chihayafuru,1054,5090,4.83,9,4,21,90,930
63,My Hero Academia,1025,4922,4.8,16,10,23,63,913
64,Your lie in April,1014,4914,4.85,8,7,25,53,921
