,Unnamed: 0,Name,Type,Studio,Genres
0,0,Fullmetal Alchemist: Brotherhood,TV,['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy']"
1,1,Spy x Family,TV,"['Wit Studio', '            CloverWorks']","['Action', 'Comedy']"
2,2,Shingeki no Kyojin Season 3 Part 2,TV,['Wit Studio'],"['Action', 'Drama']"
3,3,Steins;Gate,TV,['White Fox'],"['Drama', 'Sci-Fi', 'Suspense']"
4,4,Gintama°,TV,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']"
5,5,Gintama',TV,['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']"
6,6,Gintama: The Final,Movie,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Drama', 'Sci-Fi']"
7,7,Hunter x Hunter (2011),TV,['Madhouse'],"['Action', 'Adventure', 'Fantasy']"
8,8,Fruits Basket: The Final,TV,['TMS Entertainment'],"['Drama', 'Romance', 'Slice of Life', 'Supernatural']"
9,9,Gintama': Enchousen,TV,['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']"
10,10,Ginga Eiyuu Densetsu,OVA,"['K-Factory', '            Kitty Film Mitaka Studio']","['Drama', 'Sci-Fi']"
11,11,Gintama.,TV,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']"
12,12,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,['A-1 Pictures'],['Comedy']
13,13,3-gatsu no Lion 2nd Season,TV,['Shaft'],"['Drama', 'Slice of Life']"
14,14,Koe no Katachi,Movie,['Kyoto Animation'],['Drama']
15,15,Gintama,TV,['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']"
16,16,Violet Evergarden Movie,Movie,['Kyoto Animation'],"['Drama', 'Fantasy', 'Slice of Life']"
17,17,Clannad: After Story,TV,['Kyoto Animation'],"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']"
18,18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']"
19,19,Code Geass: Hangyaku no Lelouch R2,TV,['Sunrise'],"['Action', 'Drama', 'Sci-Fi']"
20,20,Owarimonogatari 2nd Season,TV,['Shaft'],"['Comedy', 'Mystery', 'Supernatural']"
21,21,Shingeki no Kyojin: The Final Season Part 2,TV,['MAPPA'],"['Action', 'Drama']"
22,22,Kimetsu no Yaiba: Yuukaku-hen,TV,['ufotable'],"['Action', 'Fantasy']"
23,23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']"
24,24,Kimi no Na wa.,Movie,['CoMix Wave Films'],"['Drama', 'Supernatural']"
25,25,Shingeki no Kyojin: The Final Season,TV,['MAPPA'],"['Action', 'Drama']"
26,26,Monster,TV,['Madhouse'],"['Drama', 'Mystery', 'Suspense']"
27,27,Mob Psycho 100 II,TV,['Bones'],"['Action', 'Comedy', 'Supernatural']"
28,28,Gintama.: Shirogane no Tamashii-hen,TV,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']"
29,29,Kizumonogatari III: Reiketsu-hen,Movie,['Shaft'],"['Action', 'Mystery', 'Supernatural']"
30,30,Shiguang Dailiren,ONA,['Studio LAN'],"['Drama', 'Supernatural']"
31,31,Sen to Chihiro no Kamikakushi,Movie,['Studio Ghibli'],"['Adventure', 'Award Winning', 'Supernatural']"
32,32,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,['Production I.G'],['Sports']
33,33,Kingdom 3rd Season,TV,"['Pierrot Plus', '            Studio Signpost']",['Action']
34,34,Monogatari Series: Second Season,TV,['Shaft'],"['Comedy', 'Mystery', 'Romance', 'Supernatural']"
35,35,Cowboy Bebop,TV,['Sunrise'],"['Action', 'Sci-Fi']"
36,36,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,['Studio Bind'],"['Drama', 'Fantasy', 'Ecchi']"
37,37,Odd Taxi,TV,"['OLM', '            P.I.C.S.']",['Mystery']
38,38,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,['Studio Deen'],['Drama']
39,39,Mushishi Zoku Shou 2nd Season,TV,['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']"
40,40,Hajime no Ippo,TV,['Madhouse'],['Sports']
41,41,Vinland Saga,TV,['Wit Studio'],"['Action', 'Adventure', 'Drama']"
42,42,86 Part 2,TV,['A-1 Pictures'],"['Action', 'Drama', 'Sci-Fi']"
43,43,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,['ufotable'],"['Action', 'Fantasy', 'Supernatural']"
44,44,Ashita no Joe 2,TV,['Tokyo Movie Shinsha'],"['Action', 'Drama', 'Slice of Life', 'Sports']"
45,45,Mushishi Zoku Shou,TV,['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']"
46,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,['Studio Deen'],"['Action', 'Drama', 'Romance']"
47,47,Mo Dao Zu Shi: Wanjie Pian,ONA,['B.CMAY PICTURES'],"['Action', 'Drama', 'Supernatural']"
48,48,Code Geass: Hangyaku no Lelouch,TV,['Sunrise'],"['Action', 'Drama', 'Sci-Fi']"
49,49,Great Teacher Onizuka,TV,['Studio Pierrot'],"['Comedy', 'Drama']"
50,50,Jujutsu Kaisen (TV),TV,['MAPPA'],"['Action', 'Fantasy']"
51,51,Kingdom 4th Season,TV,['None'],['Action']
52,52,Made in Abyss,TV,['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
53,53,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
54,54,Mononoke Hime,Movie,['Studio Ghibli'],"['Action', 'Adventure', 'Fantasy']"
55,55,Mushishi,TV,['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']"
56,56,Ousama Ranking,TV,['Wit Studio'],"['Adventure', 'Fantasy']"
57,57,Shigatsu wa Kimi no Uso,TV,['A-1 Pictures'],"['Drama', 'Romance']"
58,58,Violet Evergarden,TV,['Kyoto Animation'],"['Drama', 'Fantasy', 'Slice of Life']"
59,59,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,['ufotable'],"['Action', 'Fantasy']"
60,60,Hajime no Ippo: New Challenger,TV,['Madhouse'],['Sports']
61,61,Howl no Ugoku Shiro,Movie,['Studio Ghibli'],"['Adventure', 'Drama', 'Fantasy', 'Romance']"
62,62,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,['Khara'],"['Action', 'Drama', 'Sci-Fi']"
63,63,Haikyuu!! Second Season,TV,['Production I.G'],['Sports']
64,64,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,['A-1 Pictures'],['Comedy']
65,65,Natsume Yuujinchou Shi,TV,"[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']"
66,66,Tengen Toppa Gurren Lagann,TV,['Gainax'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
67,67,Natsume Yuujinchou Roku,TV,['Shuka'],"['Drama', 'Slice of Life', 'Supernatural']"
68,68,One Piece,TV,['Toei Animation'],"['Action', 'Adventure', 'Fantasy']"
69,69,Death Note,TV,['Madhouse'],"['Supernatural', 'Suspense']"
70,70,Ping Pong the Animation,TV,['Tatsunoko Production'],"['Drama', 'Sports']"
71,71,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,['CloverWorks'],"['Drama', 'Romance', 'Supernatural']"
72,72,Shingeki no Kyojin Season 3,TV,['Wit Studio'],"['Action', 'Drama']"
73,73,Suzumiya Haruhi no Shoushitsu,Movie,['Kyoto Animation'],"['Mystery', 'Romance', 'Sci-Fi', 'Supernatural']"
74,74,Mushishi Zoku Shou: Suzu no Shizuku,Movie,['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']"
75,75,Ookami Kodomo no Ame to Yuki,Movie,['Studio Chizu'],"['Fantasy', 'Slice of Life']"
76,76,Kizumonogatari II: Nekketsu-hen,Movie,['Shaft'],"['Action', 'Mystery', 'Supernatural']"
77,77,Hajime no Ippo: Rising,TV,"['Madhouse', '            MAPPA']",['Sports']
78,78,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,['David Production'],"['Action', 'Adventure']"
79,79,Natsume Yuujinchou Go,TV,['Shuka'],"['Drama', 'Slice of Life', 'Supernatural']"
80,80,Natsume Yuujinchou San,TV,"[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']"
81,81,Shoujo☆Kageki Revue Starlight Movie,Movie,['Kinema Citrus'],['None']
82,82,Shouwa Genroku Rakugo Shinjuu,TV,['Studio Deen'],['Drama']
83,83,Yojouhan Shinwa Taikei,TV,['Madhouse'],"['Comedy', 'Mystery', 'Romance']"
84,84,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,['Gainax'],"['Action', 'Sci-Fi']"
85,85,Fate/Zero 2nd Season,TV,['ufotable'],"['Action', 'Fantasy', 'Supernatural']"
86,86,Fruits Basket 2nd Season,TV,['TMS Entertainment'],"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']"
87,87,Kimi no Suizou wo Tabetai,Movie,['Studio VOLN'],"['Drama', 'Romance', 'Slice of Life']"
88,88,Bakuman. 3rd Season,TV,['J.C.Staff'],"['Comedy', 'Drama', 'Romance']"
89,89,Kimetsu no Yaiba,TV,['ufotable'],"['Action', 'Fantasy']"
90,90,Mushishi: Hihamukage,Special,['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']"
91,91,Neon Genesis Evangelion: The End of Evangelion,Movie,"['Gainax', '            Production I.G']","['Avant Garde', 'Drama', 'Sci-Fi']"
92,92,Yakusoku no Neverland,TV,['CloverWorks'],"['Mystery', 'Sci-Fi', 'Suspense']"
93,93,Zoku Natsume Yuujinchou,TV,"[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']"
94,94,Sora yori mo Tooi Basho,TV,['Madhouse'],"['Adventure', 'Comedy', 'Drama']"
95,95,Yuru Camp△ Season 2,TV,['C-Station'],"['Comedy', 'Slice of Life']"
96,96,Haikyuu!! To the Top 2nd Season,TV,['Production I.G'],['Sports']
97,97,Kara no Kyoukai 5: Mujun Rasen,Movie,['ufotable'],"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense']"
98,98,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,['ufotable'],"['Action', 'Fantasy', 'Supernatural']"
99,99,Gintama.: Porori-hen,TV,['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']"
100,100,Jujutsu Kaisen 0 Movie,Movie,['MAPPA'],"['Action', 'Fantasy']"
101,101,Kenpuu Denki Berserk,TV,['OLM'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural']"
102,102,Shingeki no Kyojin,TV,['Wit Studio'],"['Action', 'Drama']"
103,103,Slam Dunk,TV,['Toei Animation'],['Sports']
